"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
206337,3.7e+07,"2014-01-15T00:00:00",2014,"Denmark","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206338,9655172,"2014-01-15T00:00:00",2014,"Finland","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206339,2.25e+08,"2014-01-15T00:00:00",2014,"European Commission","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206360,7558480,"2014-01-15T00:00:00",2014,"Belgium","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206361,137931,"2014-01-15T00:00:00",2014,"Bulgaria","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206362,1379310,"2014-01-15T00:00:00",2014,"Czech Republic","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206366,17931035,"2014-01-15T00:00:00",2014,"Netherlands","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206367,4095004,"2014-01-15T00:00:00",2014,"New Zealand","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206369,206897,"2014-01-15T00:00:00",2014,"Croatia","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206370,3e+06,"2014-01-15T00:00:00",2014,"Mexico","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206371,8e+05,"2014-01-15T00:00:00",2014,"Poland","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206372,137931,"2014-01-15T00:00:00",2014,"Slovakia","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206442,6e+07,"2014-01-15T00:00:00",2014,"United Arab Emirates","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206235,5e+05,"2014-01-13T00:00:00",2014,"Rotary International","World Health Organization",16440,1044,"Paid contribution",0,"SYR-14/H/62466/122","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206218,2068966,"2014-01-03T00:00:00",2014,"European Commission Humanitarian Aid Office","Gruppo Volontariato Civile",16440,1048,"Commitment",0,"SRRP-14/MS/64720/5636","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205589,20210319,"2013-12-10T00:00:00",2014,"Norway","United Nations High Commissioner for Refugees",16440,1048,"Paid contribution",0,"SRRP-14/MS/67244/R/120","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205453,17418480,"2013-12-13T00:00:00",2014,"United Kingdom ","World Food Programme",16440,1048,"Commitment",0,"SRRP-14/MS/64860/561","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205454,11759114,"2013-12-13T00:00:00",2014,"United Kingdom ","United Nations Children's Fund",16440,1048,"Commitment",0,"SRRP-14/MS/64846/124","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205758,5192316,"2013-12-13T00:00:00",2014,"United Kingdom ","Handicap International",16440,1048,"Commitment",0,"SRRP-14/MS/64722/5349","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205759,2159595,"2013-09-27T00:00:00",2014,"United Kingdom ","International Rescue Committee",16440,1048,"Commitment",0,"SRRP-14/MS/64747/5179","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205786,5048860,"2013-12-13T00:00:00",2014,"United Kingdom ","United Nations Children's Fund",16440,1048,"Commitment",0,"SRRP-14/MS/64842/124","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205426,1953013,"2013-12-13T00:00:00",2014,"United Kingdom ","World Food Programme",16440,1044,"Commitment",0,"SYR-14/CSS/63006/561","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205427,32094559,"2013-12-13T00:00:00",2014,"United Kingdom ","World Food Programme",16440,1044,"Commitment",0,"SYR-14/F/62000/561","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205428,3960890,"2013-12-13T00:00:00",2014,"United Kingdom ","World Food Programme",16440,1044,"Commitment",0,"SYR-14/CSS/62678/561","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205429,1405219,"2013-12-13T00:00:00",2014,"United Kingdom ","World Food Programme",16440,1044,"Commitment",0,"SYR-14/H/62023/561","Syria Humanitarian Assistance Response Plan (SHARP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205430,14657980,"2013-12-13T00:00:00",2025,"United Kingdom ","International Committee of the Red Cross",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
